State,Party,Status,"Committee Name","Candidate Name",City,Received,Spent,District,CMTE_ID
PA,REP,CHALLENGER,"COMMITTEE TO ELECT CYNTHIA E AYERS","AYERS, CYNTHIA ELLEN",GETTYSBURG,36855,33786,00,C00640201
DE,DEM,INCUMBENT,"CARPER FOR SENATE","CARPER, THOMAS R",WILMINGTON,2149625,1099998,00,C00349217
CA,REP,CHALLENGER,"ROCKY 101 LLC","DE LA FUENTE, ROQUE ROCKY","SAN DIEGO",1256598.55,1238654.21,00,C00588426
HI,DEM,INCUMBENT,"FRIENDS OF MAZIE HIRONO","HIRONO, MAZIE K",HONOLULU,2415717,1000190,00,C00420760
NV,DEM,CHALLENGER,"COMMITTEE TO ELECT JAY CRADDOCK","CRADDOCK, JAY GREGORY","LAS VEGAS",75660,60939,00,C00636654
AZ,DEM,OPEN,"FRIENDS OF JIM MOSS","MOSS, JIM",GLOBE,32445,42071,00,C00652313
IN,REP,CHALLENGER,"TERRY HENDERSON FOR SENATE INC","HENDERSON, TERRY O",ATLANTA,322930,322930,00,C00637355
AL,DEM,INCUMBENT,"DOUG JONES FOR SENATE COMMITTEE","JONES, DOUG",BIRMINGHAM,24456380,22410681,00,C00640623
WI,REP,CHALLENGER,"RON JOHNSON FOR SENATE INC","JOHNSON, RONALD HAROLD",APPLETON,873734,509458,00,C00482984
UT,CON,OPEN,"TIM AALDERS FOR US SENATE","AALDERS, TIMOTHY NOEL",HIGHLAND,71751,17933,00,C00678300
VA,REP,CHALLENGER,"JACKSON-US SENATE","JACKSON, EARL W SR",CHESAPEAKE,348935,344666,00,C00665554
MI,LIB,CHALLENGER,"COMMITTEE TO ELECT BRIAN ELLISON","ELLISON, BRIAN JAMES","MADISON HEIGHTS",8023,5153,00,C00658864
PA,GRE,CHALLENGER,"NEAL GALE FOR US SENATE","GALE, NEAL",GLENSIDE,384,20,00,C00677070
MS,DEM,OPEN,"BARIA FOR MISSISSIPPI","BARIA, DAVID WAYNE","BAY ST LOUIS",532629,528325,00,C00673459
ND,REP,CHALLENGER,"CRAMER FOR SENATE","CRAMER, KEVIN",BISMARCK,3268775.17,1227668.11,00,C00504704
OH,REP,CHALLENGER,"GIBBONS FOR OHIO","GIBBONS, MICHAEL",CLEVELAND,3271812,3223520,00,C00647065
OH,REP,CHALLENGER,"RENACCI FOR SENATE","RENACCI, JAMES B",WADSWORTH,6223995.09,2653074.49,00,C00466359
AZ,DEM,OPEN,"BISHOP FOR US SENATE","BISHOP, ROBERT BOB GRIMES",TUCSON,29908,28757,00,C00655878
WA,OTH,CHALLENGER,"ADVOCATES FOR HOFFMAN","HOFFMAN, STEVE",SEATTLE,22746,11559,00,C00672501
WA,REP,CHALLENGER,"KEITH SWANK FOR SENATE","SWANK, KEITH R",PUYALLUP,14595,12318,00,C00678441
WY,REP,CHALLENGER,"DODSON FOR SENATE-WYOMING FIRST INC","DODSON, DAVID",CHEYENNE,1504035,1437239,00,C00671776
RI,REP,CHALLENGER,"FLANDERS FOR US SENATE","FLANDERS, ROBERT MR",PROVIDENCE,868262,484562,00,C00638791
