State,Party,Status,"Committee Name","Candidate Name",City,Received,Spent,District,CMTE_ID
CA,REP,CHALLENGER,"REMMER FOR CONGRESS","REMMER, LISA","SAN FRANCISCO",14635,2666.91,12,C00672980
CA,DEM,INCUMBENT,"MARK DESAULNIER FOR CONGRESS","DESAULNIER, MARK",CONCORD,451857.31,340721.18,11,C00554709
CT,DEM,INCUMBENT,"FRIENDS OF ROSA DELAURO","DELAURO, ROSA L","NEW HAVEN",935675.16,784387.8,03,C00238865
CA,REP,CHALLENGER,"SEAN FLYNN FOR CONGRESS","FLYNN, SEAN","RANCO CUCAMONGA",907967.29,639400.06,31,C00602722
CA,REP,CHALLENGER,"WRIGHT FOR CONGESS","WRIGHT, KENNETH","LOS ANGELES",107351.84,22739.89,33,C00608430
CA,REP,OPEN,"DIANE HARKEY FOR CONGRESS","HARKEY, DIANE",OCEANSIDE,702056.96,531574.62,49,C00665513
CA,DEM,OPEN,"CHRISTINA PREJEAN FOR CONGRESS","CHRISTINA, PREJEAN",SACRAMENTO,37554.46,37554.46,49,C00667063
CA,DEM,CHALLENGER,"AMMAR CAMPA FOR CONGRESS","CAMPA-NAJJAR, AMMAR",JAMUL,1088270.36,808477.66,50,C00635888
IN,DEM,CHALLENGER,"MAD BEAR FOR DEMOCRACY TO ELECT ROBERT A. CHATLOS","CHATLOS, ROBERT",BLOOMINGTON,3015,2800,09,C00634311
IL,DEM,CHALLENGER,"CITIZENS FOR BRIAN DETERS","DETERS, BRIAN",MORTON,20583.09,19735.32,18,C00661348
GA,REP,INCUMBENT,"ROB WOODALL FOR CONGRESS","WOODALL, ROB REP.",LAWRENCEVILLE,724911.9,519485.45,07,C00482307
MD,REP,OPEN,"BRAD ROHRS FOR MARYLAND, INC.","ROHRS, BRADLEY STEPHEN",GERMANTOWN,9995,7116.7,06,C00673939
PA,DEM,OPEN,"LAURA QUICK FOR CONGRESS","QUICK, LAURA",CAMPBELLTOWN,23680.32,23227.78,09,C00654558
CA,REP,CHALLENGER,"ROBERT BENTLEY FOR CONGRESS","BENTLEY, ROBERT","DESERT HOT SPRINGS",110,50,36,C00660936
CA,GRE,CHALLENGER,"ANGELICA DUENAS FOR CONGRESS","DUENAS, ANGELICA","SUN VALLEY",7468.4,7482.58,29,C00648634
CA,NNE,OPEN,"STEVE COX FOR CONGRESS","COX, STEPHAN",COVINA,6125.65,6062.72,39,C00653972
AZ,REP,CHALLENGER,"THE COMMITTEE TO ELECT SAN MIGUEL FOR CONGRESS","SAN MIGUEL, EDNA",TUCSON,10305,8034.43,03,C00579060
CA,REP,CHALLENGER,"RON COHEN FOR CONGRESS 2018","COHEN, RONALD H",FREMONT,3446,2774,17,C00591784
FL,REP,CHALLENGER,"DAVE CUMMINGS FOR CONGRESS","CUMMINGS, DAVE","FORT PIERCE",23262,17709.54,18,C00673723
NY,DEM,CHALLENGER,"DIMASI FOR CONGRESS","DIMASI, ELAINE DR. PHD",RONKONKOMA,104203.6,100540.89,01,C00652586
NY,DEM,CHALLENGER,"MIZAN FOR CONGRESS","CHOUDHURY, MIZANUR",BELLEROSE,35412.74,42424.84,05,C00673236
CA,DEM,CHALLENGER,"TJ COX FOR CONGRESS","COX, TERRANCE JOHN (TJ)",SELMA,1326531.95,375245.23,21,C00648956
NY,DEM,INCUMBENT,"MEEKS FOR CONGRESS","MEEKS, GREGORY W.",JAMAICA,760086.98,777913.52,05,C00329375
NY,REP,CHALLENGER,"TEAM GAYOT","GAYOT, LUTCHI","NEW YORK",3875,3609.13,09,C00673244
CA,DEM,CHALLENGER,"MARGE DOYLE FOR CONGRESS","DOYLE, MARGE","JOSHUA TREE",416177.89,350985.89,08,C00657122
CA,DEM,CHALLENGER,"COMMITTEE TO ELECT PATRICK MALLOY","MALLOY, JEFFREY",ESCONDIDO,1089,4501.19,50,C00607325
NH,REP,CHALLENGER,"LEVENSON FOR CONGRESS","LEVENSON, STEWART",HOPKINTON,450842.98,160905.9,02,C00667436
KS,DEM,CHALLENGER,"JOE MCCONNELL FOR KANSAS","MCCONNELL, JOSEPH","OVERLAND PARK",36182.63,36182.63,03,C00641209
FL,REP,OPEN,"ELECT GABE FERRER","FERRER, GABRIEL",MIAMI,31845.53,33930.03,27,C00656447
NE,DEM,CHALLENGER,"WRITE INN STEVE SVOBODA FOR CONGRESS","SVOBODA, STEVE",LINCOLN,24697,24697,01,C00679506
CA,DEM,CHALLENGER,"VIRGINIA FOR CONGRESS","MADUENO, VIRGINIA",RIVERBANK,355179.26,324736.34,10,C00653576
TX,REP,INCUMBENT,"THORNBERRY FOR CONGRESS COMMITTEE","THORNBERRY, MAC",CLARENDON,1131705.43,1160012.55,13,C00286187
IL,DEM,OPEN,"CHUY GARCIA FOR CONGRESS","GARCIA, JESUS",CHICAGO,677625.12,643690.47,04,C00661777
IL,DEM,OPEN,"SOL FLORES FOR CONGRESS","FLORES, SOL",CHICAGO,341189.07,316784.95,04,C00662130
TX,REP,INCUMBENT,"MCCAUL FOR CONGRESS, INC","MCCAUL, MICHAEL",AUSTIN,1385579.37,1053225,10,C00392688
TX,DEM,CHALLENGER,"RICHIE DEGROW FOR CONGRESS","DEGROW, RICHIE",AUSTIN,6076.13,6068.13,10,C00652669
CA,REP,CHALLENGER,"ANTONIO SABATO JR FOR CONGRESS","SABATO, ANTONIO","WESTLAKE VILLAGE",200928,169344.98,26,C00639690
IL,REP,CHALLENGER,"FRIENDS OF DOUG BENNETT","BENNETT, DOUGLAS R 1963",DEERFIELD,204824.58,160202.08,10,C00634808
IL,DEM,CHALLENGER,"ERIK JONES FOR CONGRESS","JONES, ERIK C","GLEN CARBON",516090.09,511744.69,13,C00651315
IL,DEM,INCUMBENT,"BILL FOSTER FOR CONGRESS","FOSTER, G. WILLIAM (BILL)",NAPERVILLE,1832162.44,1105881.08,11,C00435099
AZ,REP,OPEN,"CHAD ALLEN FOR CONGRESS","ALLEN, CHAD","LITCHFIELD PARK",33011.58,33011.58,08,C00663757
ID,LIB,OPEN,"W. SCOTT HOWARD FOR IDAHO","HOWARD, WILLIAM","POST FALLS",1390.11,1315.87,01,C00672493
TX,DEM,INCUMBENT,"SHEILA JACKSON LEE FOR CONGRESS","LEE, SHEILA JACKSON",HOUSTON,452824.59,435691.07,18,C00287904
TX,REP,OPEN,"MATT MCCALL FOR CONGRESS","MCCALL, BRIAN MATTHEW",BOERNE,309015.14,253652.55,21,C00662809
TX,REP,OPEN,"CANSECO FOR CONGRESS","CANSECO, FRANCISCO 'QUICO'","SAN ANTONIO",22361.49,22361.49,21,C00394353
VA,REP,INCUMBENT,"FRIENDS OF DAVE BRAT INC.","BRAT, DAVID ALAN MR.","GLEN ALLEN",1332894.18,583806.09,07,C00554949
CA,DEM,CHALLENGER,"BRAD WESTMORELAND FOR CONGRESS","WESTMORELAND, BRAD","ELK GROVE",2581.95,2581.95,07,C00653097
IL,DEM,OPEN,"RAYMOND LOPEZ FOR CONGRESS","LOPEZ, RAYMOND ANTHONY MR.",CHICAGO,4350,4350,04,C00662692
IL,DEM,CHALLENGER,"LAUREN UNDERWOOD FOR CONGRESS","UNDERWOOD, LAUREN A",OSWEGO,1129202.81,477317.85,14,C00652719
KY,REP,CHALLENGER,"GLISSON FOR CONGRESS","GLISSON, VICKIE YATES BROWN",LOUISVILLE,465356.48,108579.72,03,C00668699
KY,DEM,CHALLENGER,"HANK 4 KY","LINDERMAN, HANK","FALLS OF ROUGH",85359.51,82400.09,02,C00668194
TX,DEM,CHALLENGER,"IVAN SANCHEZ FOR CONGRESS COMMITTEE","SANCHEZ, IVAN",HOUSTON,64535.97,64535.97,07,C00667998
NV,DEM,CHALLENGER,"PAT FOGARTY FOR CONGRESS","FOGARTY, PATRICK",RENO,169040,169040,02,C00677849
NY,DEM,INCUMBENT,"KATHLEEN RICE FOR CONGRESS","RICE, KATHLEEN",MINEOLA,1128724.18,823836.96,04,C00555813
NY,REP,INCUMBENT,"ELISE FOR CONGRESS","STEFANIK, ELISE M.","GLENS FALLS",1976106.65,929906.78,21,C00547893
OK,REP,INCUMBENT,"LUCAS FOR CONGRESS","LUCAS, FRANK D.",CHEYENNE,828198.41,698414.18,03,C00287912
SC,REP,OPEN,"BARRY FOR CONGRESS CAMPAIGN COMMITTEE","BELL, BARRY",CAMPOBELLO,5620.41,4274.41,04,C00672030
KY,DEM,CHALLENGER,"JIM GRAY FOR CONGRESS","GRAY, JAMES P.",LEXINGTON,1681749.34,1665186.68,06,C00662528
